evidence_node	required_signal	evidence_paths	status	interpretation
method_object_primary	decision object is explicit and executable	case_studies/stage10_method_object_v2/stage10_1_method_object_gate_report.json	pass	RhoDyn is supportable as a method object rather than only a convenience wrapper.
named_tool_benchmarking	at least three direct optional package families and named external-style comparators	case_studies/stage10_named_benchmarks/stage10_2_named_benchmark_report.json	pass	The comparator evidence directly addresses a methods-editor concern about self-comparison.
public_biological_breadth	four counted systems across at least three domains	case_studies/stage10_public_breadth/stage10_3_public_breadth_report.json	pass	The use cases are broader than one manuscript-specific RhoA biology example.
heldout_mixed_outcomes	positive, comparator-sufficient or negative, and inconclusive outcomes under fixed rules	case_studies/stage10_heldout_validation/stage10_4_gate_report.json	pass	The method retains boundary behavior and does not force every input into a positive residence call.
method_first_display	six-figure architecture puts method and validation before software	case_studies/stage10_figure_architecture/stage10_5_gate_report.json	pass	The figure plan protects the Nature Methods reading from becoming software-first.
manuscript_pitch_boundary	title, abstract, Results route, and pitch foreground method evidence and non-claims	case_studies/stage10_manuscript_pitch/stage10_6_gate_report.json	pass	The editor-facing text is aligned to the evidence hierarchy rather than to software maturity alone.
release_replayability	checksums, commands, and safety scan pass	case_studies/stage10_release_candidate/stage10_7_gate_report.json	pass	The Stage 10 evidence is replayable without adding private data or local-machine state.
red_team_risk_clearance	no unresolved high-severity desk-rejection risk	case_studies/stage10_eic_red_team/stage10_8_gate_report.json	pass	Remaining risk is route choice, not collapse of novelty, validation breadth, benchmarking, or overclaiming.
contact_route_author_review	presubmission route selected and external contact remains unsent	case_studies/stage10_eic_contact_decision/stage10_9_gate_report.json	pass	The next editor-facing action remains an author-controlled presubmission decision.
no_contact_before_evidence_gate	roadmap records no old-package reconsideration request	docs/stage10_nature_methods_eic_rescue_roadmap.md	pass	The Stage 9.29 package remains closed and is not used alone as the second-contact basis.
