case,unit_id,value
positive_stable,positive_stable_0,0.48
positive_stable,positive_stable_1,0.5
positive_stable,positive_stable_2,0.51
positive_stable,positive_stable_3,0.49
positive_stable,positive_stable_4,0.52
positive_stable,positive_stable_5,0.5
positive_stable,positive_stable_6,0.51
positive_stable,positive_stable_7,0.49
counterexample_shifted,counterexample_shifted_0,0.2
counterexample_shifted,counterexample_shifted_1,0.22
counterexample_shifted,counterexample_shifted_2,0.25
counterexample_shifted,counterexample_shifted_3,0.24
counterexample_shifted,counterexample_shifted_4,0.23
counterexample_shifted,counterexample_shifted_5,0.21
counterexample_shifted,counterexample_shifted_6,0.24
counterexample_shifted,counterexample_shifted_7,0.22
ambiguous_broad,ambiguous_broad_0,0.1
ambiguous_broad,ambiguous_broad_1,0.9
ambiguous_broad,ambiguous_broad_2,0.2
ambiguous_broad,ambiguous_broad_3,0.8
ambiguous_broad,ambiguous_broad_4,0.3
ambiguous_broad,ambiguous_broad_5,0.7
ambiguous_broad,ambiguous_broad_6,0.4
ambiguous_broad,ambiguous_broad_7,0.6
