fig_id	old_panel	old_panel_title	old_visual_problem	mutation_decision	new_panel	new_panel_title	data_object_shown	method_operation_tested	uncertainty_or_model_layer	visual_elements_removed	strongest_replacement_panel	minimum_required_data_objects	status
FIG-001	A	Input objects and declared biological regimes	slide-like workflow boxes	rebuild	A	Trajectory window	Existing Stage 7/10 quantitative output tied to this figure claim	RhoDyn operates on declared trajectory objects and exposes when residence changes the decision relative to amplitude summaries.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-001A. Trajectory window	docs/stage10_method_object_v2.md;src/rhodyn/method_object.py	mutation_bound
FIG-001	B	Residence-comparator decision divergence	conceptual equation card	rebuild	B	Feature distributions	Existing Stage 7/10 quantitative output tied to this figure claim	RhoDyn operates on declared trajectory objects and exposes when residence changes the decision relative to amplitude summaries.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-001B. Feature distributions	docs/stage10_method_object_v2.md;case_studies/stage10_method_object_v2/stage10_1_method_object_decisions.csv	mutation_bound
FIG-001	C	Executable positive, negative, and ambiguous fixtures	static grid without distributions	rebuild	C	Decision divergence	Existing Stage 7/10 quantitative output tied to this figure claim	RhoDyn operates on declared trajectory objects and exposes when residence changes the decision relative to amplitude summaries.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-001C. Decision divergence	case_studies/stage10_method_object_v2/stage10_1_method_object_decisions.csv;case_studies/stage10_method_object_v2/stage10_1_method_object_gate_report.json	mutation_bound
FIG-001	D	Abstention and failure-mode grammar	review ledger table	rebuild	D	Abstention bounds	Existing Stage 7/10 quantitative output tied to this figure claim	RhoDyn operates on declared trajectory objects and exposes when residence changes the decision relative to amplitude summaries.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-001D. Abstention bounds	docs/stage10_1_api_gap_list.md;case_studies/stage10_method_object_v2/stage10_1_method_object_brief.md	mutation_bound
FIG-002	A	Known-truth regimes for benchmark stress tests	static regime matrix	rebuild	E	Runtime scaling	Existing Stage 7/10 quantitative output tied to this figure claim	Benchmarking across named comparator families shows where residence scoring adds information and where simpler summaries are sufficient.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-002E. Runtime scaling	case_studies/stage10_named_benchmarks/stage10_2_synthetic_named_baseline_benchmark.csv	mutation_bound
FIG-002	B	Named comparator families	generic comparator ladder	rebuild	E	Runtime scaling	Existing Stage 7/10 quantitative output tied to this figure claim	Benchmarking across named comparator families shows where residence scoring adds information and where simpler summaries are sufficient.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-002E. Runtime scaling	case_studies/stage10_named_benchmarks/stage10_2_named_tool_availability.tsv;case_studies/stage10_named_benchmarks/stage10_2_named_benchmark_report.json	mutation_bound
FIG-002	C	Accuracy and boundary outcomes	partly quantitative but visually schematic	rebuild	E	Runtime scaling	Existing Stage 7/10 quantitative output tied to this figure claim	Benchmarking across named comparator families shows where residence scoring adds information and where simpler summaries are sufficient.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-002E. Runtime scaling	case_studies/stage10_named_benchmarks/stage10_2_named_baseline_accuracy_summary.csv;case_studies/stage10_named_benchmarks/stage10_2_failure_boundary_report.md	mutation_bound
FIG-002	D	Public input benchmark summaries	table-like summary	rebuild	E	Runtime scaling	Existing Stage 7/10 quantitative output tied to this figure claim	Benchmarking across named comparator families shows where residence scoring adds information and where simpler summaries are sufficient.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-002E. Runtime scaling	case_studies/stage10_named_benchmarks/stage10_2_public_input_named_baseline_summary.csv	mutation_bound
FIG-002	E	Runtime and memory profile	usable quantitative panel	mutate	E	Runtime scaling	Existing Stage 7/10 quantitative output tied to this figure claim	Benchmarking across named comparator families shows where residence scoring adds information and where simpler summaries are sufficient.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-002E. Runtime scaling	case_studies/stage10_named_benchmarks/stage10_2_runtime_memory.tsv	mutation_bound
FIG-003	A	Independent public system matrix	source table rather than data matrix	rebuild	F	Source eligibility	Existing Stage 7/10 quantitative output tied to this figure claim	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-003F. Source eligibility	case_studies/stage10_public_breadth/stage10_3_public_system_matrix.tsv;case_studies/stage10_public_breadth/stage10_3_public_breadth_report.json	mutation_bound
