reviewer_perspective,concern,claim_id,fig_id,resolution_status,resolution
Nature Methods handling editor,The manuscript must read as a general method Article rather than a companion biology paper.,CLM-0001,FIG-001,resolved,Reader-facing surfaces now state a methods Article scope and separate the RhoA/microglia reference use case from the software generality claim.
Nature Methods handling editor,The main text must avoid implying that every biological system contains a residence regime.,CLM-0001,FIG-003,narrowed,"The Introduction, Results, Discussion, and non-example supplement keep amplitude-sufficient and inconclusive cases visible."
Computational methods reviewer,"The method object needs explicit inputs, outputs, assumptions, and failure modes.",CLM-0001,FIG-001,resolved,"Figure 1, Online Methods, and Supplementary Methods define tidy trajectory and endpoint schemas, residence windows, amplitude comparators, and invalid-input behavior."
Computational methods reviewer,Reduced architectures could be overread as exhaustive mechanistic alternatives.,CLM-0004,FIG-004,narrowed,"Results, Methods, and legends state that routed-output comparisons test endpoint architectures and do not identify direct biochemical interactions."
Live-cell signaling reviewer,Residence windows could be mistaken for automatically discovered biological states.,CLM-0001,FIG-002,narrowed,The manuscript states that windows are declared analysis choices and pairs residence outputs with amplitude comparators and sensitivity summaries.
Live-cell signaling reviewer,The public reporter demonstrations must remain independent tests of portability rather than proof of one shared signaling mechanism.,CLM-0001,FIG-003,resolved,The public DRG calcium and ERK GPCR examples are framed as independent reporter demonstrations with system-specific windows and uncertainty.
Statistics and uncertainty reviewer,"Bounded-coupling claims require declared margins, uncertainty intervals, and visible inconclusive outcomes.",CLM-0002,FIG-004,resolved,"Figure 4 and Methods require positive margins, interval support, and ROPE/TOST thresholds where available before promotion to bounded coupling."
Statistics and uncertainty reviewer,Held-out validation must not become a single pass-rate claim.,CLM-0002,FIG-005,resolved,"Figure 5 keeps pass, inconclusive, margin-sensitivity, and controlled-access contexts side by side."
Endpoint perturbation reviewer,Reserve-like language could imply direct measurement of unmeasured biological reserve capacity.,CLM-0003,FIG-004,narrowed,The manuscript uses reserve-like endpoint coordinate language and states that these summaries remain tied to the measured assay.
Endpoint perturbation reviewer,Endpoint analyses need a clear route for failures to distinguish alternatives.,CLM-0004,FIG-004,resolved,"Reduced-alternative comparisons, residual summaries, and decision-boundary tables remain visible in the main and supplementary displays."
Software reproducibility reviewer,"Readers must be able to verify that Python, command-line, backend, and workbench surfaces agree.",CLM-0005,FIG-006,resolved,"Cross-surface parity, export-bundle contents, clean-room reproduction, checksums, and citable software DOI are all surfaced in Figure 6 and availability text."
Software reproducibility reviewer,The manuscript must not imply package-index distribution or private-data redistribution that has not occurred.,CLM-0005,FIG-006,narrowed,"Discussion and Methods state that PyPI-style distribution and controlled-access inputs remain bounded, while the Zenodo/GitHub release is citable."
Figure and data-visualization reviewer,The six-figure spine must be rendered and captioned without leaking figure-engine or lineage language into reader-facing captions.,CLM-0005,FIG-006,resolved,"Stage 9.6b rendered six main figures in PDF, PNG, and SVG; Stage 9.23 resolved legends and captions; Stage 9.25b removed reader-facing lineage wording."
Figure and data-visualization reviewer,The archive-count statistic in Figure 6 must match the current release archive manifest.,CLM-0005,FIG-006,resolved,The live-number audit refreshed STAT-0018 to the current 632-row release archive manifest and propagated the count to Figure 6.
Adoption and usability reviewer,The workbench and reports need to serve both biologist-facing and quantitative users.,CLM-0005,FIG-006,resolved,"The Results and Figure 6 route user-facing workbench paths, CLI/API parity, and export bundles to the same inspectable outputs."
Adoption and usability reviewer,Submission assembly should not begin before review concerns are visible to the author.,CLM-0005,FIG-006,routed_upstream,The action matrix routes remaining human judgment to Stage 9.27 package assembly and Stage 9.28 PI review rather than silently treating this simulation as acceptance.
