fig_id	panel	panel_title	required_data_object	plot_type	purpose
FIG-001	A	Trajectory window	existing quantitative output table or trajectory fixture	Biophysical traces	RhoDyn operates on declared trajectory objects and exposes when residence changes the decision relative to amplitude summaries.
FIG-001	C	Decision divergence	existing quantitative output table or trajectory fixture	Residence-versus-comparator scatter	RhoDyn operates on declared trajectory objects and exposes when residence changes the decision relative to amplitude summaries.
FIG-003	B	DRG calcium traces	existing quantitative output table or trajectory fixture	Public trajectory ensemble	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.
FIG-003	C	ERK trajectory geometry	existing quantitative output table or trajectory fixture	Trajectory and residence feature scatter	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.
FIG-003	D	MLCI tracking divergence	existing quantitative output table or trajectory fixture	Track-level residence-amplitude scatter	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.
FIG-003	E	Endpoint extension	existing quantitative output table or trajectory fixture	Endpoint model/reserve quantitative summary	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.
FIG-004	A	Endpoint residuals	existing quantitative output table or trajectory fixture	Observed-versus-predicted diagnostic	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.
FIG-004	B	Bounded coupling	existing quantitative output table or trajectory fixture	Declared-margin interval forest	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.
FIG-004	C	Reserve-like coordinate	existing quantitative output table or trajectory fixture	Bootstrap interval	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.
FIG-006	A	Operating regions	existing quantitative output table or trajectory fixture	Decision-boundary phase space	The method is reproducible across interfaces and archives while its admissible operating regions and non-claims remain explicit.
