item_id	source_item	stage10_15_status	codex_resolution	recommendation	remaining_human_action
AVR-001	Use Stage 10.14 review renders, not crowded Stage 10.13 parent renders	ready_for_author_review	codex_resolved_ready	Use the Stage 10.14 readable review renders rather than the crowded Stage 10.13 parent renders.	Author performs final visual acceptance before sending or uploading.
AVR-002	External contact remains unsent	not_sent	author_only_not_sent	Keep external contact unsent until the corresponding author explicitly approves the route and final message.	Corresponding author approval and actual sending remain outside Codex authority.
AVR-003	Corresponding-author identity and contact details	author_required	author_only_metadata	Do not invent name, affiliation, account, signature, or contact details.	Corresponding author fills identity and contact fields.
AVR-004	Presubmission route approval	author_required	codex_recommendation_author_decision	Retain the presubmission query as the recommended next route.	Author chooses presubmission, full submission, delay for external validation, or venue pivot.
AVR-005	Method-first framing	ready_for_author_review	codex_resolved_retain	Retain method-first residence-state inference framing.	Author may shorten wording, but should not convert the pitch back into a software-wrapper story.
AVR-006	Named comparator evidence	ready_for_author_review	codex_resolved_retain	Retain named comparator evidence and comparator-sufficient boundaries.	Author may shorten comparator detail only if the method novelty remains visible.
AVR-007	Public biological breadth	ready_for_author_review	codex_resolved_retain	Retain public biological breadth while avoiding universal-residence language.	Author may adjust examples, but should preserve breadth across trajectory, endpoint, and paired-reporter contexts.
AVR-008	No-retuning held-out validation scope	ready_for_author_review	codex_resolved_retain	Describe Stage 10.4 as no-retuning held-out validation over retained public-derived contexts.	Author should not describe this as prospective blinded collaborator validation.
AVR-009	Limits and non-claims	ready_for_author_review	codex_resolved_retain	Retain explicit limits against universal superiority, automatic mechanism discovery, and all-system residence claims.	Author should keep a limits sentence visible if the message is shortened.
AVR-010	Prospective collaborator-blind validation	separate_new_evidence_decision	new_evidence_optional_not_blocking	Treat prospective collaborator-blind validation as optional strengthening, not a local blocker for presubmission.	Author decides whether to delay for new external data before a direct full-submission route.
