fig_id	panel	panel_title	required_data_object	plot_type	purpose
FIG-001	B	Feature distributions	existing quantitative output table or trajectory fixture	Histograms and ECDFs	RhoDyn operates on declared trajectory objects and exposes when residence changes the decision relative to amplitude summaries.
FIG-001	C	Decision divergence	existing quantitative output table or trajectory fixture	Residence-versus-comparator scatter	RhoDyn operates on declared trajectory objects and exposes when residence changes the decision relative to amplitude summaries.
FIG-001	D	Abstention bounds	existing quantitative output table or trajectory fixture	Interval and uncertainty decision plot	RhoDyn operates on declared trajectory objects and exposes when residence changes the decision relative to amplitude summaries.
FIG-002	A	Truth regimes	existing quantitative output table or trajectory fixture	Regime-specific score distributions	Benchmarking across named comparator families shows where residence scoring adds information and where simpler summaries are sufficient.
FIG-002	B	Accuracy matrix	existing quantitative output table or trajectory fixture	Method-by-regime heatmap	Benchmarking across named comparator families shows where residence scoring adds information and where simpler summaries are sufficient.
FIG-002	D	Public-input discordance	existing quantitative output table or trajectory fixture	Dataset-by-method discordance heatmap	Benchmarking across named comparator families shows where residence scoring adds information and where simpler summaries are sufficient.
FIG-003	A	System matrix	existing quantitative output table or trajectory fixture	Source and measurement heatmap	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.
FIG-003	B	DRG calcium traces	existing quantitative output table or trajectory fixture	Public trajectory ensemble	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.
FIG-003	C	ERK trajectory geometry	existing quantitative output table or trajectory fixture	Trajectory and residence feature scatter	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.
FIG-003	D	MLCI tracking divergence	existing quantitative output table or trajectory fixture	Track-level residence-amplitude scatter	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.
FIG-004	B	Bounded coupling	existing quantitative output table or trajectory fixture	Declared-margin interval forest	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.
FIG-004	C	Reserve-like coordinate	existing quantitative output table or trajectory fixture	Bootstrap interval	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.
FIG-004	D	Routed alternatives	existing quantitative output table or trajectory fixture	Delta-BIC model landscape	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.
FIG-004	E	Scope limits	existing quantitative output table or trajectory fixture	Assay-scope decision matrix	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.
FIG-005	A	Held-out calls	existing quantitative output table or trajectory fixture	Decision heatmap	No-retuning held-out tests preserve positive, comparator-sufficient and inconclusive calls rather than forcing universal method superiority.
FIG-005	B	Object-level calls	existing quantitative output table or trajectory fixture	Held-out scatter	No-retuning held-out tests preserve positive, comparator-sufficient and inconclusive calls rather than forcing universal method superiority.
FIG-005	C	Margin sensitivity	existing quantitative output table or trajectory fixture	Decision landscape	No-retuning held-out tests preserve positive, comparator-sufficient and inconclusive calls rather than forcing universal method superiority.
FIG-005	D	Group robustness	existing quantitative output table or trajectory fixture	Normal and bootstrap intervals	No-retuning held-out tests preserve positive, comparator-sufficient and inconclusive calls rather than forcing universal method superiority.
FIG-006	B	Interface parity	existing quantitative output table or trajectory fixture	Python-CLI-API-workbench matrix	The method is reproducible across interfaces and archives while its admissible operating regions and non-claims remain explicit.
FIG-006	C	Archive integrity	existing quantitative output table or trajectory fixture	Checksum and file-class distributions	The method is reproducible across interfaces and archives while its admissible operating regions and non-claims remain explicit.
FIG-006	D	User-path rehearsal	existing quantitative output table or trajectory fixture	Task outcome matrix	The method is reproducible across interfaces and archives while its admissible operating regions and non-claims remain explicit.
