surface	path	role	exists	bytes	sha256	author_action	send_surface
polished_query	case_studies/stage10_message_integrity/stage10_17_presubmission_query_polished_AUTHOR_REVIEW_REQUIRED.md	candidate presubmission query	yes	1896	7f1347384c12e44062e681929d5fb82fdb631eceb4ac9b85d1c423b9d04f3069	approve exact wording and sender identity	candidate_after_author_approval
polished_pitch	case_studies/stage10_message_integrity/stage10_17_one_page_pitch_polished.md	candidate one-page pitch	yes	1893	9fe745117c7396d7c016b8469970205d94b15970f799769c97cabc8dedb4e48c	decide whether to attach, paste, shorten, or omit	candidate_after_author_approval
route_recommendation	case_studies/stage10_route_decision_triage/stage10_16_route_recommendation.md	Stage 10.16 route recommendation	yes	1308	c1649a8080c30f0941e0176de42f68e7d6aacd0063dc16a2e1aff6d4f888899b	approve or override route	no
author_visual_packet	case_studies/stage10_author_visual_review_packet/stage10_15_author_visual_review_packet.md	Stage 10.15 visual-review packet	yes	1398	18d02b23cc44331742420954ca041a8140aa221c23eca4197bc3b2eeea3a7608	review support surfaces	no
figure_contact_sheet	case_studies/stage10_rendered_figure_visual_qc/stage10_14_review_render_contact_sheet.png	readable Stage 10 figure contact sheet	yes	380526	c3aebcdeb8acf7beb90906a0cec7c5e0a72d969fc80c13506d139c9e60dbfec0	review figures visually	no
approval_dossier	case_studies/stage10_author_approval_dossier/stage10_18_corresponding_author_approval_dossier_AUTHOR_ACTION_REQUIRED.md	Stage 10.18 approval dossier	yes	2020	afc0adacaeeeba3b327bb38bd46741ed01dfb33fb40dcbae2b99e61ac1e992b0	read before author decision	no
approval_checklist	case_studies/stage10_author_approval_dossier/stage10_18_corresponding_author_approval_checklist.tsv	corresponding-author approval checklist	yes	1843	e39ade503f03f0b6ae974ff562e8a6bba4825dc28872f5f0d7affd40d965a3d2	complete required rows	no
route_lock	case_studies/stage10_author_approval_dossier/stage10_18_submission_route_lock.tsv	route status and alternatives	yes	755	cd02cc042191637552fd59cc4fddda21641334340081a3aaaf40b2b8b557c4a5	select or override route	no
boundary_scan	case_studies/stage10_author_approval_dossier/stage10_18_no_send_boundary_scan.tsv	no-send and claim-boundary scan	yes	1418	22bbde08e8bf69d183473de250c32d07e21742c11b26a9d98f1587fb52d614d8	review pass/fail state	no
stage10_17_gate	case_studies/stage10_message_integrity/stage10_17_gate_report.json	message-integrity parent gate	yes	1849	129944dc9acacaf7d47fad5ca2800c6b1d8bc5aba23df0cc810600e5baac82ad	verify parent state	no
