surface	path	role	review_action	exists	bytes	sha256	send_surface
clean_presubmission_query	case_studies/stage10_author_review_readiness/stage10_11_presubmission_query_clean_AUTHOR_REVIEW_REQUIRED.md	author-reviewed message source for optional Nature Methods presubmission inquiry	complete author identity and approve exact wording before any external message	yes	1874	d20d7e9d634557c4a9f1363ee2b237d2455c635f16976cf304b3a24749abeaa8	candidate_after_author_approval
one_page_pitch	case_studies/stage10_eic_contact_decision/stage10_9_one_page_pitch.md	optional attachment or paste-in pitch source	decide whether to attach, paste, or omit	yes	2063	20bd881e7ce3657595722e1aa307186b0b14bf19446483154ec7e3eff1b8a11f	candidate_after_author_approval
route_decision_memo	case_studies/stage10_eic_contact_decision/stage10_9_decision_memo.md	internal route decision and rejected alternatives	review only if changing route	yes	1575	9e9b79646b6dfff2c6f481351a8f89c6f3d840da2c9bb6987e07665d68e57e6a	no
author_review_checklist	case_studies/stage10_author_review_readiness/stage10_11_author_review_checklist.tsv	pre-send author checklist from Stage 10.11	complete all required author rows before contact	yes	2366	df0ac5d1eb8b733830d2c76f40cc79c8c9a3ec0f6814d77cd708250923aa0758	no
stage10_14_contact_sheet	case_studies/stage10_rendered_figure_visual_qc/stage10_14_review_render_contact_sheet.png	single-sheet visual scan of all readable Stage 10 figures	review figure order and obvious visual defects	yes	380526	c3aebcdeb8acf7beb90906a0cec7c5e0a72d969fc80c13506d139c9e60dbfec0	no
stage10_14_visual_qc	case_studies/stage10_rendered_figure_visual_qc/stage10_14_review_render_visual_qc.tsv	programmatic image-quality check for readable review renders	confirm all six review PNGs pass visual-QA gates	yes	880	405a31dcf363469c83e8bece22dd4c2872078710f6f91047ccf1178617ec4c33	no
stage10_14_parent_defects	case_studies/stage10_rendered_figure_visual_qc/stage10_14_parent_visual_defect_matrix.tsv	record of why Stage 10.13 parent renders are not manuscript-ready	preserve parent render trace without using it as a review surface	yes	1717	978ebe41f12a81786e5db05ca08d0072926153a2c0e18aee941c35bae5334df3	no
stage10_7_release_candidate_brief	case_studies/stage10_release_candidate/stage10_7_release_candidate_brief.md	fresh-clone reproducibility support summary	keep as evidence support, not the primary method claim	yes	461	bc3f40d36e5381194a38b11dbd4d952218b7753215e5c769426d55686714cfa8	no
review_render_FIG-001_pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-001/FIG-001.pdf	readable Stage 10.14 method figure FIG-001 in PDF format	review figure content and style before any editor-facing package is assembled	yes	28564	dca10dbe81445e5d7ef60adfe5e0016a167389fe025adfd776998d86a83fff9a	no
review_render_FIG-001_png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-001/FIG-001.png	readable Stage 10.14 method figure FIG-001 in PNG format	review figure content and style before any editor-facing package is assembled	yes	213831	b212600b0d8e7be5c6472063ebe7beb70b2ae74d6fbef5614a19f280b799c594	no
review_render_FIG-001_svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-001/FIG-001.svg	readable Stage 10.14 method figure FIG-001 in SVG format	review figure content and style before any editor-facing package is assembled	yes	158936	184babb2997fc4fdd0298a09641e0c8fe9522aca3bfcf80fedf7526941ea3e55	no
review_render_FIG-002_pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-002/FIG-002.pdf	readable Stage 10.14 method figure FIG-002 in PDF format	review figure content and style before any editor-facing package is assembled	yes	32219	c9f27f4aa252f714e93a54bce32e665a764b2b298402f221f054471871ba253c	no
review_render_FIG-002_png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-002/FIG-002.png	readable Stage 10.14 method figure FIG-002 in PNG format	review figure content and style before any editor-facing package is assembled	yes	223527	dd2524709aec51ed40e1f0e51c5cb10cbadbd4561f90564ec660dd61457225d1	no
review_render_FIG-002_svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-002/FIG-002.svg	readable Stage 10.14 method figure FIG-002 in SVG format	review figure content and style before any editor-facing package is assembled	yes	181992	6a91c63514e7eeb9c2fbb5ca3bec328e520ed6df35e25aca51d9d90ff594f457	no
review_render_FIG-003_pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-003/FIG-003.pdf	readable Stage 10.14 method figure FIG-003 in PDF format	review figure content and style before any editor-facing package is assembled	yes	37097	e179fc7c3d805d212a7c32a8945eaf5bfe0ec3d55e246c0fe833087d09cd4390	no
review_render_FIG-003_png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-003/FIG-003.png	readable Stage 10.14 method figure FIG-003 in PNG format	review figure content and style before any editor-facing package is assembled	yes	281265	b4a9020677e04eb99ef6d8951f3b2f2d3845293b2a104e4ade747f711ce002a3	no
review_render_FIG-003_svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-003/FIG-003.svg	readable Stage 10.14 method figure FIG-003 in SVG format	review figure content and style before any editor-facing package is assembled	yes	229974	b83bafe9b46e87464b5a2afc73f6c757fb469b1180ef8040809918e5e61b60be	no
review_render_FIG-004_pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-004/FIG-004.pdf	readable Stage 10.14 method figure FIG-004 in PDF format	review figure content and style before any editor-facing package is assembled	yes	30347	7d07c990b737bebe6d4ef5df5e1b72cbbe36a21b744b47c712fb5de203f34bfa	no
review_render_FIG-004_png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-004/FIG-004.png	readable Stage 10.14 method figure FIG-004 in PNG format	review figure content and style before any editor-facing package is assembled	yes	207710	d780476f0aaec243cf9cd46d51050823a75032205b4e0f900fea84dd2bbf0347	no
review_render_FIG-004_svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-004/FIG-004.svg	readable Stage 10.14 method figure FIG-004 in SVG format	review figure content and style before any editor-facing package is assembled	yes	173896	6d804b456275d5631699ce5d91c9a8605d2d02972fe4be7627c743b469266c75	no
review_render_FIG-005_pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-005/FIG-005.pdf	readable Stage 10.14 method figure FIG-005 in PDF format	review figure content and style before any editor-facing package is assembled	yes	31654	7a732e19c767c2f3b0b08733569a70dc0c552308b4858707f66a2462217b4883	no
review_render_FIG-005_png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-005/FIG-005.png	readable Stage 10.14 method figure FIG-005 in PNG format	review figure content and style before any editor-facing package is assembled	yes	198828	3126527deb680e486a3661f5babe1df221c11a81c29b5673beaf66847a2f8097	no
review_render_FIG-005_svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-005/FIG-005.svg	readable Stage 10.14 method figure FIG-005 in SVG format	review figure content and style before any editor-facing package is assembled	yes	163573	d8182bb27f9544e97c5c018072ca7528d153b03b2d586b65187601b14beb431e	no
