ref_id,claim_id,doi_or_pmid,resolved,access_date,source_type,citation_label,title,paragraph_ids,support_role,retraction_check,source_note
REF-0001,CLM-0001,10.1038/s41587-019-0071-9,true,2026-07-04,methods,Saelens et al. 2019,A comparison of single-cell trajectory inference methods,PARA-INTRO-001;PARA-DISCUSSION-001,trajectory-inference benchmark context,clear,Existing Stage 9.12 Introduction citation ledger and Stage 9.2 methods corpus.
REF-0002,CLM-0001,10.1038/s41587-020-0591-3,true,2026-07-04,methods,Bergen et al. 2020,Generalizing RNA velocity to transient cell states through dynamical modeling,PARA-INTRO-001;PARA-DISCUSSION-001,dynamical transient-state modeling context,clear,Existing Stage 9.12 Introduction citation ledger and Stage 9.2 methods corpus.
REF-0003,CLM-0001,10.1038/s41587-019-0336-3,true,2026-07-04,methods,Moon et al. 2019,Visualizing structure and transitions in high-dimensional biological data,PARA-INTRO-001;PARA-DISCUSSION-001,state-space visualization context,clear,Existing Stage 9.12 Introduction citation ledger and Stage 9.2 methods corpus.
REF-0004,CLM-0001,10.1038/s41592-021-01346-6,true,2026-07-04,methods,Lange et al. 2022,CellRank for directed single-cell fate mapping,PARA-INTRO-001;PARA-METHODS-001,formal dynamic-state inference object context,clear,Existing Stage 9.12 Introduction citation ledger and Stage 9.2 methods corpus.
REF-0005,CLM-0002,10.1038/s41592-020-01018-x,true,2026-07-04,methods,Stringer et al. 2021,Cellpose: a generalist algorithm for cellular segmentation,PARA-INTRO-002;PARA-DISCUSSION-002,generalist software-method validation context,clear,Existing Stage 9.12 Introduction citation ledger and Stage 9.2 methods corpus.
REF-0006,CLM-0002,10.1038/s41592-021-01358-2,true,2026-07-04,methods,Palla et al. 2022,Squidpy: a scalable framework for spatial omics analysis,PARA-INTRO-002;PARA-DISCUSSION-002,spatial-omics workbench and reproducibility context,clear,Existing Stage 9.12 Introduction citation ledger and Stage 9.2 methods corpus.
REF-0007,CLM-0002;CLM-0005,10.1038/s41587-021-01206-w,true,2026-07-04,methods,Gayoso et al. 2022,A Python library for probabilistic analysis of single-cell omics data,PARA-INTRO-002;PARA-METHODS-005,probabilistic software architecture and uncertainty context,clear,Existing Stage 9.12 Introduction citation ledger and Stage 9.2 methods corpus.
REF-0008,CLM-0002;CLM-0005,10.1038/s41593-018-0209-y,true,2026-07-04,methods,Mathis et al. 2018,DeepLabCut: markerless pose estimation of user-defined body parts with deep learning,PARA-INTRO-002;PARA-DISCUSSION-002,adoption-facing computational method context,clear,Existing Stage 9.12 Introduction citation ledger and Stage 9.2 methods corpus.
REF-0009,CLM-0001,10.5281/zenodo.14907827,true,2026-07-04,dataset,von Buchholtz 2025 dataset,A distributed coding logic for thermosensation and inflammatory pain,PARA-INTRO-001;PARA-METHODS-001;PARA-RESULTS-002,public DRG calcium live-cell trajectory source,not_applicable_zenodo_record,Stage 7.3 public signaling adapter and provenance.
REF-0010,CLM-0001;CLM-0002,10.5281/zenodo.5836623,true,2026-07-04,dataset,Wan et al. 2021 dataset,Single cell imaging of ERK and Akt activation dynamics and heterogeneity induced by G protein-coupled receptors - Scripts &amp; Source data,PARA-INTRO-001;PARA-INTRO-002;PARA-METHODS-001;PARA-METHODS-002;PARA-RESULTS-002;PARA-RESULTS-003,public ERK GPCR and paired ERK/Akt reporter source,not_applicable_zenodo_record,"Stage 7.3, Stage 7.4, and Stage 7.5 public signaling adapters."
REF-0011,CLM-0002;CLM-0003;CLM-0004,10.5281/zenodo.10011861,true,2026-07-04,dataset,Seal et al. 2023 dataset,From Pixels to Phenotypes: Integrating Image-Based Profiling with Cell Health Data Improves Interpretability,PARA-INTRO-002;PARA-METHODS-003;PARA-METHODS-004;PARA-RESULTS-004;PARA-RESULTS-005,public Cell Painting and MitoTox endpoint source,not_applicable_zenodo_record,"Stage 7.4 endpoint, reserve-like, and routed-output demonstration."
REF-0012,CLM-0005,10.5281/zenodo.21036616,true,2026-07-04,software,Socodato 2026 RhoDyn software,RhoDyn: dynamic residence-state analysis for live-cell signaling and perturbation data,PARA-METHODS-005;PARA-RESULTS-006,citable RhoDyn v0.1.0 software archive,not_applicable_zenodo_record,Stage 9.17 code availability statement and Stage 7.6 release archive.
REF-0013,CLM-0005,10.5281/zenodo.20811171,true,2026-07-04,software,Socodato 2026 PanelForge software,panelforge-figures: a modality-first publication-grade figure system for systems biology and computational biophysics,PARA-METHODS-005;PARA-RESULTS-006,citable figure-rendering software archive,not_applicable_zenodo_record,Stage 9.6b PanelForge render binding and Stage 9.17 code availability statement.
