case_id,component,call,decision_divergence,residence_score,baseline_score,estimate,interval_low,interval_high,margin,rope_mass,uncertainty_width,best_model,runner_up_model,model_delta,rationale,interpretation_boundary
trajectory_residence_added,trajectory_residence_vs_comparator,residence_added_information,1.0,1.0,0.62,,,,,,0.05,,,,residence passes while the amplitude comparator does not,Decision divergence reports whether the declared residence window changes the interpretation relative to the declared comparator. It is not a mechanism-discovery statistic.
trajectory_amplitude_sufficient,trajectory_residence_vs_comparator,baseline_or_amplitude_sufficient,-1.0,0.0,0.96,,,,,,0.05,,,,amplitude comparator passes while residence does not,Decision divergence reports whether the declared residence window changes the interpretation relative to the declared comparator. It is not a mechanism-discovery statistic.
trajectory_ambiguous_uncertainty,trajectory_residence_vs_comparator,inconclusive,0.0,0.5,0.76,,,,,,0.4,,,,uncertainty width exceeds the declared decision limit,Decision divergence reports whether the declared residence window changes the interpretation relative to the declared comparator. It is not a mechanism-discovery statistic.
coupling_positive_equivalent,bounded_coupling,bounded_coupling_within_margin,,,,0.01,-0.04,0.05,0.1,0.99,,,,,interval and ROPE evidence remain inside the declared margin,"Bounded coupling is scoped to the declared margin, uncertainty, and measurement context. It is not evidence for exactly zero coupling."
coupling_counterexample_shift,bounded_coupling,coupling_shift_exceeds_margin,,,,0.16,0.11,0.22,0.1,0.4,,,,,the interval is outside the declared equivalence region,"Bounded coupling is scoped to the declared margin, uncertainty, and measurement context. It is not evidence for exactly zero coupling."
coupling_ambiguous_margin_crossing,bounded_coupling,inconclusive,,,,0.02,-0.12,0.08,0.1,0.92,,,,,the interval does not support a bounded-coupling decision,"Bounded coupling is scoped to the declared margin, uncertainty, and measurement context. It is not evidence for exactly zero coupling."
reserve_positive_buffered,reserve_like_endpoint,reserve_like_buffered,,,,0.8999999999999999,,,,,0.0,,,,reserve-like coordinate remains above the declared buffered region,Reserve-like calls are scoped to the measured endpoint and scaling. They do not prove unmeasured biological reserve capacity.
reserve_counterexample_fragile,reserve_like_endpoint,reserve_like_fragile,,,,0.10000000000000009,,,,,0.0,,,,reserve-like coordinate lies in the declared fragile region,Reserve-like calls are scoped to the measured endpoint and scaling. They do not prove unmeasured biological reserve capacity.
reserve_ambiguous_midreserve,reserve_like_endpoint,inconclusive,,,,0.5,,,,,0.0,,,,reserve-like coordinate lies between buffered and fragile regions,Reserve-like calls are scoped to the measured endpoint and scaling. They do not prove unmeasured biological reserve capacity.
model_positive_routed_best,routed_output_model_comparison,routed_architecture_selected,,,,,,,,,,routed,endpoint_only,18.61367328770606,routed architecture is selected over reduced alternatives,Architecture selection ranks tested readout alternatives. It does not identify literal biochemical edges.
model_counterexample_endpoint_sufficient,routed_output_model_comparison,reduced_architecture_selected,,,,,,,,,,endpoint_only,routed,57.34148377353695,a reduced architecture is selected over the routed alternative,Architecture selection ranks tested readout alternatives. It does not identify literal biochemical edges.
model_ambiguous_close_fit,routed_output_model_comparison,inconclusive,,,,,,,,,,routed,endpoint_only,4.158883083359665,top models remain too close under the declared BIC-delta rule,Architecture selection ranks tested readout alternatives. It does not identify literal biochemical edges.
