fig_id,panel,panel_id,figure_title,figure_role,panel_title,method_job,reader_takeaway,stage_anchor,vulnerability_addressed,evidence_files,source_scripts,render_recipe_hint,role_class
FIG-001,A,FIG-001A,Figure 1. RhoDyn formalizes residence-state inference as a decision object,method_object_first,Input objects and declared biological regimes,"Define tidy trajectory, paired-reporter, and endpoint inputs before any biological interpretation.","RhoDyn begins with declared data objects, grouping fields, windows, margins, and failure rules rather than free-form post hoc summaries.",10.1,method_novelty,docs/stage10_method_object_v2.md;src/rhodyn/method_object.py,scripts/run_stage10_1_method_object_v2.py,schema_flow,main_method_definition
FIG-001,B,FIG-001B,Figure 1. RhoDyn formalizes residence-state inference as a decision object,method_object_first,Residence-comparator decision divergence,"Show the central decision object that compares declared residence summaries against endpoint, amplitude, and generic comparator families.","The method-level advance is the explicit decision divergence and abstention grammar, not only software integration.",10.1,method_novelty,docs/stage10_method_object_v2.md;case_studies/stage10_method_object_v2/stage10_1_method_object_decisions.csv,scripts/run_stage10_1_method_object_v2.py,equation_plus_decision_table,main_method_definition
FIG-001,C,FIG-001C,Figure 1. RhoDyn formalizes residence-state inference as a decision object,method_object_first,"Executable positive, negative, and ambiguous fixtures","Prove that the same method object can call residence-positive, comparator-sufficient, and unresolved cases.",RhoDyn is a scoped decision method because it can also withhold interpretation when inputs do not earn a call.,10.1,method_novelty,case_studies/stage10_method_object_v2/stage10_1_method_object_decisions.csv;case_studies/stage10_method_object_v2/stage10_1_method_object_gate_report.json,scripts/run_stage10_1_method_object_v2.py;tests/test_stage10_1_method_object_v2.py,truth_case_grid,main_method_validation
FIG-001,D,FIG-001D,Figure 1. RhoDyn formalizes residence-state inference as a decision object,method_object_first,Abstention and failure-mode grammar,Make unsupported biological calls visible as formal outputs rather than hidden exclusions.,The method does not claim that every live-cell dataset has a residence regime or that every coupling is bounded.,10.1,overclaim_boundary,docs/stage10_1_api_gap_list.md;case_studies/stage10_method_object_v2/stage10_1_method_object_brief.md,scripts/run_stage10_1_method_object_v2.py,failure_boundary_table,main_method_boundary
FIG-002,A,FIG-002A,Figure 2. Named baselines define when residence-state inference adds value,named_baseline_benchmarking,Known-truth regimes for benchmark stress tests,"Set synthetic residence-positive, amplitude-sufficient, and ambiguous truth regimes before benchmarking.",Comparator performance is judged against declared truth structure rather than against a RhoDyn-only score.,10.2,limited_named_tool_benchmarking,case_studies/stage10_named_benchmarks/stage10_2_synthetic_named_baseline_benchmark.csv,scripts/run_stage10_2_named_benchmarking.py,truth_regime_matrix,main_benchmark
FIG-002,B,FIG-002B,Figure 2. Named baselines define when residence-state inference adds value,named_baseline_benchmarking,Named comparator families,Display simple summaries and named external-style baseline families side by side.,"The benchmark includes amplitude, endpoint, AUC, peak, latency, threshold, SciPy peak, scikit-learn, HMM, catch22-style, tsfresh-style, MiniROCKET-style, and ruptures-style comparators.",10.2,limited_named_tool_benchmarking,case_studies/stage10_named_benchmarks/stage10_2_named_tool_availability.tsv;case_studies/stage10_named_benchmarks/stage10_2_named_benchmark_report.json,scripts/run_stage10_2_named_benchmarking.py,baseline_family_ladder,main_benchmark
FIG-002,C,FIG-002C,Figure 2. Named baselines define when residence-state inference adds value,named_baseline_benchmarking,Accuracy and boundary outcomes,Compare RhoDyn decisions against named baseline performance and record where generic features succeed.,The paper should foreground both RhoDyn-positive regimes and regimes where named comparator families are sufficient.,10.2,method_novelty,case_studies/stage10_named_benchmarks/stage10_2_named_baseline_accuracy_summary.csv;case_studies/stage10_named_benchmarks/stage10_2_failure_boundary_report.md,scripts/run_stage10_2_named_benchmarking.py,accuracy_heatmap_with_boundary_rows,main_benchmark
FIG-002,D,FIG-002D,Figure 2. Named baselines define when residence-state inference adds value,named_baseline_benchmarking,Public input benchmark summaries,Apply the same comparator framing to retained public DRG calcium and ERK GPCR inputs.,"The method object and named baselines are evaluated on shared public inputs, not only synthetic fixtures.",10.2,limited_named_tool_benchmarking,case_studies/stage10_named_benchmarks/stage10_2_public_input_named_baseline_summary.csv,scripts/run_stage10_2_named_benchmarking.py,public_input_comparator_table,main_benchmark
FIG-002,E,FIG-002E,Figure 2. Named baselines define when residence-state inference adds value,named_baseline_benchmarking,Runtime and memory profile,Show practical compute cost for the method object and named feature families.,"RhoDyn's methodological claim is separable from software maturity, but the benchmark remains computationally inspectable.",10.2,software_secondary_support,case_studies/stage10_named_benchmarks/stage10_2_runtime_memory.tsv,scripts/run_stage10_2_named_benchmarking.py,runtime_memory_stripplot,main_benchmark_support
FIG-003,A,FIG-003A,Figure 3. Public biological breadth tests portability across domains,public_biological_breadth,Independent public system matrix,"Show counted source systems, biological domains, source access, and evidence roles.",The breadth claim rests on four counted independent public systems across at least three biological domains.,10.3,small_public_biological_demonstration_count,case_studies/stage10_public_breadth/stage10_3_public_system_matrix.tsv;case_studies/stage10_public_breadth/stage10_3_public_breadth_report.json,scripts/run_stage10_3_public_biological_breadth.py,public_system_matrix,main_biological_breadth
FIG-003,B,FIG-003B,Figure 3. Public biological breadth tests portability across domains,public_biological_breadth,DRG calcium residence-amplitude divergence,Use a public calcium trajectory system to show a residence-versus-amplitude comparison outside the reference use case.,Residence and amplitude can diverge in neuronal calcium dynamics under declared window rules.,7.3/10.3,small_public_biological_demonstration_count,case_studies/stage7_public_signaling/drg_calcium_residence_amplitude_summary.csv;case_studies/stage7_public_signaling/drg_calcium_uncertainty_summary.csv,scripts/run_stage7_3_public_signaling.py,trajectory_residence_amplitude_panel,main_biological_breadth
FIG-003,C,FIG-003C,Figure 3. Public biological breadth tests portability across domains,public_biological_breadth,ERK GPCR residence-amplitude divergence and sufficiency boundary,Use GPCR-linked ERK dynamics to show both residence/amplitude structure and comparator-sufficient boundaries.,RhoDyn's breadth is strengthened by systems where residence helps and systems where simpler summaries can be sufficient.,7.3/10.4,small_public_biological_demonstration_count,case_studies/stage7_public_signaling/erk_gpcr_residence_amplitude_summary.csv;case_studies/stage10_heldout_validation/stage10_4_heldout_decisions.tsv,scripts/run_stage7_3_public_signaling.py;scripts/run_stage10_4_heldout_validation.py,trajectory_boundary_comparison,main_biological_breadth
FIG-003,D,FIG-003D,Figure 3. Public biological breadth tests portability across domains,public_biological_breadth,Cell Painting and MitoTox endpoint architecture,Bring endpoint perturbation data into the same method frame without presenting it as trajectory evidence.,Public endpoint data can support reduced-architecture and reserve-like decisions when measurement scope is explicit.,7.4/10.3,small_public_biological_demonstration_count,case_studies/stage7_endpoint_reserve_routing/cell_painting_routed_model_comparison.csv;case_studies/stage7_endpoint_reserve_routing/cell_painting_reserve_like_model_summary.csv,scripts/run_stage7_4_endpoint_reserve_routing.py,endpoint_architecture_panel,main_biological_breadth
FIG-003,E,FIG-003E,Figure 3. Public biological breadth tests portability across domains,public_biological_breadth,MLCI tracking residence-amplitude stress test,Use microbial live-cell tracking as a non-molecular trajectory stress test for schema portability and residence divergence.,"The method can expose residence/amplitude divergence outside reporter kinase or calcium datasets, while the biological interpretation remains tracking-intensity scoped.",10.3/10.4,small_public_biological_demonstration_count,case_studies/stage10_public_breadth/stage10_3_mlci_tracking_residence_summary.csv;case_studies/stage10_heldout_validation/stage10_4_trajectory_object_calls.csv,scripts/run_stage10_3_public_biological_breadth.py;scripts/run_stage10_4_heldout_validation.py,tracking_residence_panel,main_biological_breadth
FIG-003,F,FIG-003F,Figure 3. Public biological breadth tests portability across domains,public_biological_breadth,Source eligibility and deferred datasets,Make source-access and license boundaries visible rather than silently adding weak demonstrations.,Birtwistle ERK/Akt is source-verified but deferred from counted release evidence because explicit license support is missing.,10.3,overclaim_boundary,case_studies/stage10_public_breadth/stage10_3_candidate_resolution.tsv;case_studies/stage10_public_breadth/stage10_3_source_access_ledger.tsv;case_studies/stage10_public_breadth/stage10_3_birtwistle_source_probe.json,scripts/run_stage10_3_public_biological_breadth.py,source_eligibility_table,main_boundary
