amplitude_residence_class,amplitude_top_quartile,cell_id,dataset,max_signal,mean_signal,min_signal,n_points,replicate,residence_fraction,residence_time_frames,residence_top_quartile,total_time_frames,window_high,window_low
neither_top_quartile,0,mlci_seq00_track23,mlci_tracking,13.822222,13.32588,12.841432,4,00,0,0,0,60,17.146964,15.475187
neither_top_quartile,0,mlci_seq00_track2102,mlci_tracking,13.110561,12.897205,12.648184,3,00,0,0,0,40,17.146964,15.475187
neither_top_quartile,0,mlci_seq00_track2103,mlci_tracking,14.60347,13.666745,12.560081,4,00,0,0,0,60,17.146964,15.475187
neither_top_quartile,0,mlci_seq00_track3716,mlci_tracking,17.039437,16.323258,14.88563,5,00,0.75,60,0,80,17.146964,15.475187
neither_top_quartile,0,mlci_seq00_track24,mlci_tracking,13.877266,13.609733,13.147793,3,00,0,0,0,40,17.146964,15.475187
neither_top_quartile,0,mlci_seq00_track1207,mlci_tracking,17.911011,16.286486,15.143243,4,00,0.66666667,40,0,60,17.146964,15.475187
residence_only_top_quartile,0,mlci_seq00_track25,mlci_tracking,16.009132,16.009132,16.009132,1,00,1,1,1,1,17.146964,15.475187
neither_top_quartile,0,mlci_seq00_track734,mlci_tracking,13.408389,13.408389,13.408389,1,00,0,0,0,1,17.146964,15.475187
neither_top_quartile,0,mlci_seq00_track2104,mlci_tracking,15.473077,15.473077,15.473077,1,00,0,0,0,1,17.146964,15.475187
residence_only_top_quartile,0,mlci_seq00_track3057,mlci_tracking,15.645914,15.645914,15.645914,1,00,1,1,1,1,17.146964,15.475187
neither_top_quartile,0,mlci_seq01_track30,mlci_tracking,13.656977,13.570703,13.484429,2,01,0,0,0,20,17.146964,15.475187
neither_top_quartile,0,mlci_seq01_track3387,mlci_tracking,14.874837,14.357409,13.894737,3,01,0,0,0,40,17.146964,15.475187
residence_only_top_quartile,0,mlci_seq01_track31,mlci_tracking,17.882581,16.675725,15.478351,4,01,1,60,1,60,17.146964,15.475187
amplitude_only_top_quartile,1,mlci_seq01_track2166,mlci_tracking,19.354796,17.109854,14.868664,4,01,0.33333333,20,0,60,17.146964,15.475187
residence_only_top_quartile,0,mlci_seq01_track3388,mlci_tracking,16.742147,16.241455,15.90625,3,01,1,40,1,40,17.146964,15.475187
neither_top_quartile,0,mlci_seq01_track4993,mlci_tracking,17.176786,16.501773,15.334783,3,01,0,0,0,40,17.146964,15.475187
residence_only_top_quartile,0,mlci_seq01_track32,mlci_tracking,17.615953,16.869039,16.122124,2,01,1,20,1,20,17.146964,15.475187
amplitude_only_top_quartile,1,mlci_seq01_track1223,mlci_tracking,24.806706,23.357685,21.908665,2,01,0,0,0,20,17.146964,15.475187
neither_top_quartile,0,mlci_seq01_track2167,mlci_tracking,18.145729,18.112944,18.08016,2,01,0,0,0,20,17.146964,15.475187
amplitude_only_top_quartile,1,mlci_seq01_track2408,mlci_tracking,27.704633,26.421761,25.138889,2,01,0,0,0,20,17.146964,15.475187
amplitude_and_residence_top_quartile,1,mlci_seq01_track3389,mlci_tracking,18.638752,17.858066,17.077381,2,01,1,20,1,20,17.146964,15.475187
neither_top_quartile,0,mlci_seq01_track4088,mlci_tracking,17.586998,17.408523,17.230047,2,01,0,0,0,20,17.146964,15.475187
amplitude_only_top_quartile,1,mlci_seq01_track4994,mlci_tracking,21.978723,21.783626,21.588529,2,01,0,0,0,20,17.146964,15.475187
amplitude_only_top_quartile,1,mlci_seq01_track5349,mlci_tracking,18.700971,18.225774,17.750577,2,01,0,0,0,20,17.146964,15.475187
