ref_id,citation_label,title,doi_or_pmid,resolved,access_date,source_type,claim_id,paragraph_ids,source_file,supports_external_claim
REF-0001,Saelens et al. 2019,A comparison of single-cell trajectory inference methods,10.1038/s41587-019-0071-9,true,2026-07-03,methods,CLM-0001,PARA-INTRO-001,manuscript/nature_methods/refs/_cache/methods_corpus/mp-004.crossref.json,Shared benchmarks clarify when trajectory summaries answer different biological questions.
REF-0002,Bergen et al. 2020,Generalizing RNA velocity to transient cell states through dynamical modeling,10.1038/s41587-020-0591-3,true,2026-07-03,methods,CLM-0001,PARA-INTRO-001,manuscript/nature_methods/refs/_cache/methods_corpus/mp-006.crossref.json,Dynamic cell-state methods can expose transient regimes not visible to static summaries alone.
REF-0003,Moon et al. 2019,Visualizing structure and transitions in high-dimensional biological data,10.1038/s41587-019-0336-3,true,2026-07-03,methods,CLM-0001,PARA-INTRO-001,manuscript/nature_methods/refs/_cache/methods_corpus/mp-007.crossref.json,State-space visualization methods help interpret biological transitions but require quantitative support.
REF-0004,Lange et al. 2022,CellRank for directed single-cell fate mapping,10.1038/s41592-021-01346-6,true,2026-07-03,methods,CLM-0001,PARA-INTRO-001,manuscript/nature_methods/refs/_cache/methods_corpus/mp-003.crossref.json,Formal inference objects make dynamic biological interpretation inspectable.
REF-0005,Stringer et al. 2021,Cellpose: a generalist algorithm for cellular segmentation,10.1038/s41592-020-01018-x,true,2026-07-03,methods,CLM-0002,PARA-INTRO-002,manuscript/nature_methods/refs/_cache/methods_corpus/mp-001.crossref.json,Reusable methods papers pair formal method behavior with broad examples and accessible software.
REF-0006,Palla et al. 2022,Squidpy: a scalable framework for spatial omics analysis,10.1038/s41592-021-01358-2,true,2026-07-03,methods,CLM-0002,PARA-INTRO-002,manuscript/nature_methods/refs/_cache/methods_corpus/mp-002.crossref.json,"Workbench-like methods require transparent data objects, analysis outputs, and reproducibility routes."
REF-0007,Gayoso et al. 2022,A Python library for probabilistic analysis of single-cell omics data,10.1038/s41587-021-01206-w,true,2026-07-03,methods,CLM-0002,PARA-INTRO-002,manuscript/nature_methods/refs/_cache/methods_corpus/mp-005.crossref.json,Package architecture and uncertainty-aware outputs are part of a reviewable method claim.
REF-0008,Mathis et al. 2018,DeepLabCut: markerless pose estimation of user-defined body parts with deep learning,10.1038/s41593-018-0209-y,true,2026-07-03,methods,CLM-0002,PARA-INTRO-002,manuscript/nature_methods/refs/_cache/methods_corpus/mp-008.crossref.json,A methods contribution should make user-facing adoption and reproducible outputs visible.
REF-0009,Copperman et al. 2023,Morphodynamical cell state description via live-cell imaging trajectory embedding,10.1038/s42003-023-04837-8,true,2026-07-07,methods,CLM-0001;CLM-0002,PARA-INTRO-002,manuscript/nature_methods/refs/_cache/reference_library/10.1038_s42003-023-04837-8.csl.json,Live-cell morphodynamic trajectory embedding is established prior art for time-lapse cell-state analysis.
REF-0010,von Buchholtz 2025 dataset,Public DRG calcium imaging archive used as a live-cell signaling demonstration,10.5281/zenodo.14907827,true,2026-07-03,dataset,CLM-0001,PARA-INTRO-001,docs/stage7_public_data_adapters.md,Public DRG calcium traces provide an independent calcium trajectory demonstration.
REF-0011,Wan et al. 2021 dataset,Public ERK GPCR and paired ERK/Akt live-cell reporter archive,10.5281/zenodo.5836623,true,2026-07-03,dataset,CLM-0001;CLM-0002,PARA-INTRO-001;PARA-INTRO-002,docs/stage7_public_data_adapters.md,Public ERK GPCR and ERK/Akt reporter traces support trajectory and bounded-coupling demonstrations.
REF-0012,Seal et al. 2023 dataset,Public Cell Painting and MitoTox endpoint archive,10.5281/zenodo.10011861,true,2026-07-03,dataset,CLM-0002,PARA-INTRO-002,docs/stage7_endpoint_reserve_routing_demonstrations.md,Public endpoint data support reserve-like and routed-output demonstrations.
