fig_id	panel	panel_id	panel_title	panel_logic	panelforge_recipe	data_recipe_tooling	review_motif	variation_axis	evidence_scope	status
FIG-001	A	FIG-001A	Input objects and declared biological regimes	Define tidy trajectory, paired-reporter, and endpoint inputs before any biological interpretation.	grant_and_conceptual.methods_pipeline_flow	pipeline	flow	contract-flow topology	RhoDyn begins with declared data objects, grouping fields, windows, margins, and failure rules rather than free-form post hoc summaries.	bound
FIG-001	B	FIG-001B	Residence-comparator decision divergence	Show the central decision object that compares declared residence summaries against endpoint, amplitude, and generic comparator families.	grant_and_conceptual.conceptual_triptych	triptych	formula_decision	equation-plus-decision grammar	The method-level advance is the explicit decision divergence and abstention grammar, not only software integration.	bound
FIG-001	C	FIG-001C	Executable positive, negative, and ambiguous fixtures	Prove that the same method object can call residence-positive, comparator-sufficient, and unresolved cases.	meta_and_diagnostic.alternative_hypothesis_exclusion_table	exclusion	truth_grid	truth-case grid	RhoDyn is a scoped decision method because it can also withhold interpretation when inputs do not earn a call.	bound
FIG-001	D	FIG-001D	Abstention and failure-mode grammar	Make unsupported biological calls visible as formal outputs rather than hidden exclusions.	meta_and_diagnostic.alternative_hypothesis_exclusion_table	exclusion	boundary_table	abstention and failure ledger	The method does not claim that every live-cell dataset has a residence regime or that every coupling is bounded.	bound
FIG-002	A	FIG-002A	Known-truth regimes for benchmark stress tests	Set synthetic residence-positive, amplitude-sufficient, and ambiguous truth regimes before benchmarking.	meta_and_diagnostic.alternative_hypothesis_exclusion_table	exclusion	truth_grid	known-truth regime matrix	Comparator performance is judged against declared truth structure rather than against a RhoDyn-only score.	bound
FIG-002	B	FIG-002B	Named comparator families	Display simple summaries and named external-style baseline families side by side.	grant_and_conceptual.conceptual_triptych	triptych	ladder	named-comparator ladder	The benchmark includes amplitude, endpoint, AUC, peak, latency, threshold, SciPy peak, scikit-learn, HMM, catch22-style, tsfresh-style, MiniROCKET-style, and ruptures-style comparators.	bound
FIG-002	C	FIG-002C	Accuracy and boundary outcomes	Compare RhoDyn decisions against named baseline performance and record where generic features succeed.	mixed_effects_models.model_comparison_aic_bic_ladder	models	heatmap	accuracy heatmap with boundary rows	The paper should foreground both RhoDyn-positive regimes and regimes where named comparator families are sufficient.	bound
FIG-002	D	FIG-002D	Public input benchmark summaries	Apply the same comparator framing to retained public DRG calcium and ERK GPCR inputs.	meta_and_diagnostic.alternative_hypothesis_exclusion_table	exclusion	small_multiples	public-input small multiples	The method object and named baselines are evaluated on shared public inputs, not only synthetic fixtures.	bound
FIG-002	E	FIG-002E	Runtime and memory profile	Show practical compute cost for the method object and named feature families.	mixed_effects_models.model_comparison_aic_bic_ladder	models	stripplot	runtime and memory stripplot	RhoDyn's methodological claim is separable from software maturity, but the benchmark remains computationally inspectable.	bound
FIG-003	A	FIG-003A	Independent public system matrix	Show counted source systems, biological domains, source access, and evidence roles.	meta_and_diagnostic.alternative_hypothesis_exclusion_table	exclusion	domain_matrix	biological-domain matrix	The breadth claim rests on four counted independent public systems across at least three biological domains.	bound
FIG-003	B	FIG-003B	DRG calcium residence-amplitude divergence	Use a public calcium trajectory system to show a residence-versus-amplitude comparison outside the reference use case.	sensitivity_analysis.sobol_first_total_pair	sobol	trajectory_window	trajectory window overlay	Residence and amplitude can diverge in neuronal calcium dynamics under declared window rules.	bound
FIG-003	C	FIG-003C	ERK GPCR residence-amplitude divergence and sufficiency boundary	Use GPCR-linked ERK dynamics to show both residence/amplitude structure and comparator-sufficient boundaries.	biophysics_scaling.equivalence_forest_with_tost_bounds	forest	trajectory_boundary	trajectory plus sufficiency boundary	RhoDyn's breadth is strengthened by systems where residence helps and systems where simpler summaries can be sufficient.	bound
FIG-003	D	FIG-003D	Cell Painting and MitoTox endpoint architecture	Bring endpoint perturbation data into the same method frame without presenting it as trajectory evidence.	mixed_effects_models.model_comparison_aic_bic_ladder	models	endpoint_network	endpoint architecture network	Public endpoint data can support reduced-architecture and reserve-like decisions when measurement scope is explicit.	bound
FIG-003	E	FIG-003E	MLCI tracking residence-amplitude stress test	Use microbial live-cell tracking as a non-molecular trajectory stress test for schema portability and residence divergence.	sensitivity_analysis.sobol_first_total_pair	sobol	tracking_path	tracking trajectory path	The method can expose residence/amplitude divergence outside reporter kinase or calcium datasets, while the biological interpretation remains tracking-intensity scoped.	bound
FIG-003	F	FIG-003F	Source eligibility and deferred datasets	Make source-access and license boundaries visible rather than silently adding weak demonstrations.	meta_and_diagnostic.alternative_hypothesis_exclusion_table	exclusion	eligibility	source eligibility ledger	Birtwistle ERK/Akt is source-verified but deferred from counted release evidence because explicit license support is missing.	bound
FIG-004	A	FIG-004A	Endpoint input schema and contrast contract	Define how endpoint perturbation rows carry grouping, contrast, margin, and readout fields.	grant_and_conceptual.methods_pipeline_flow	pipeline	flow	endpoint contract-flow topology	Endpoint use cases enter RhoDyn through declared contrasts rather than being forced into trajectory language.	bound
FIG-004	B	FIG-004B	Bounded-coupling decisions under declared margins	Show margin-bound ERK/Akt coupling calls with pass, fail, or inconclusive decisions.	biophysics_scaling.equivalence_forest_with_tost_bounds	forest	forest	bounded-coupling interval forest	Bounded coupling is a context-scoped interval decision, not a claim of no biochemical interaction.	bound
FIG-004	C	FIG-004C	Reserve-like endpoint coordinate	Tie buffering language to measured endpoint preservation rather than hidden latent reserve.	biophysics_scaling.hierarchical_effect_size_ladder	hierarchy	reserve_gauge	reserve-like gauge and uncertainty	Reserve-like calls remain measurement-scoped and uncertainty-aware.	bound
FIG-004	D	FIG-004D	Routed-output reduced-architecture comparison	Compare candidate endpoint architectures against reduced alternatives.	mixed_effects_models.model_comparison_aic_bic_ladder	models	model_ladder	reduced-architecture model ladder	Routed-output support is earned only when reduced alternatives fail within the measured endpoint structure.	bound
FIG-004	E	FIG-004E	Measurement-scope limits	State where endpoint, reserve-like, and routed-output decisions should abstain.	meta_and_diagnostic.alternative_hypothesis_exclusion_table	exclusion	guardrail	measurement-scope guardrail	The method extension is broad enough for endpoint data but still bounded by assay scope and declared alternatives.	bound
FIG-005	A	FIG-005A	Predeclared splits, thresholds, and margins	Place training definitions and held-out contexts before the decision table.	grant_and_conceptual.methods_pipeline_flow	pipeline	locked_timeline	locked no-retuning timeline	The validation panels are no-retuning challenges rather than retrospective optimization.	bound
