rubric_id	rubric_item	source_surface	evidence	status	strengthening_decision
R-106-001	Title contains method or inference plus the live-cell perturbation data class	manuscript/nature_methods/stage10_6/title_abstract_v2.md	Residence-state inference for live-cell perturbation data	pass	retain method-first title
R-106-002	Abstract names named baselines and multiple biological domains	manuscript/nature_methods/stage10_6/title_abstract_v2.md	named baseline families plus DRG calcium, ERK, Cell Painting/MitoTox, and MLCI tracking	pass	retain named comparators and biological breadth in abstract
R-106-003	Introduction frames the missing method as a decision object rather than a convenience workflow	manuscript/nature_methods/stage10_6/main_text_method_first_rescue_draft.md	absence of a reviewable decision object	pass	keep decision-object framing visible before software surfaces
R-106-004	Results lead with mathematical object and named-baseline performance before software	manuscript/nature_methods/stage10_6/main_text_method_first_rescue_draft.md	method object before named baselines before public breadth and software	pass	preserve method-first Results order
R-106-005	Discussion states where RhoDyn does not beat simpler summaries	manuscript/nature_methods/stage10_6/main_text_method_first_rescue_draft.md	simpler summaries are sufficient or the evidence is unresolved	pass	retain comparator-sufficient and inconclusive outcomes as part of the conclusion
R-106-006	Cover-letter opening leads with named-comparator validation and biological breadth	manuscript/nature_methods/stage10_6/eic_pitch_v2.md	decision method plus named baseline comparisons, public biological breadth, and held-out validation	pass	keep pitch method-first and comparator-forward
R-107-001	Release candidate has benchmark command, checksum, runtime, and clean-room reproduction surfaces	case_studies/stage10_release_candidate	Stage 10.7 benchmark-ready release candidate	pass	retain benchmark-ready release candidate as reproducibility evidence
R-108-001	Six-perspective EIC red-team has no unresolved high-severity desk-rejection risk	case_studies/stage10_eic_red_team	Nature Methods EIC, methods editor, computational reviewer, live-cell biologist, statistician, software reviewer	pass	retain presubmission-style route rather than re-asking about the old paper
R-109-001	EIC message route is concise, new-method-first, and unsent	case_studies/stage10_eic_contact_decision	presubmission-style contact with author review required	pass	keep external contact as author-only action
R-112-001	Rendered Stage 10 figure strengthening is complete through readable review renders	case_studies/stage10_rendered_figure_visual_qc	six readable review figures and eighteen review-rendered files	pass	use Stage 10.14 readable review renders, not crowded parent renders
R-112-002	Prospective collaborator-blind validation is explicitly optional new evidence, not an implied completed result	case_studies/stage10_optional_strengthening	requires external data and is not locally closable	pass	predeclare the optional validation lane without upgrading claims
