model,endpoint,observed,predicted,weight,compound_index,compound_id_sha12
endpoint_prevalence,apoptosis up,1,0.23592085,0.0032051282,0,2994ffc8014f
morphology_magnitude_5nn,apoptosis up,1,0.8,0.0032051282,0,2994ffc8014f
cells_block_5nn,apoptosis up,1,0.8,0.0032051282,0,2994ffc8014f
cytoplasm_block_5nn,apoptosis up,1,1,0.0032051282,0,2994ffc8014f
nuclei_block_5nn,apoptosis up,1,0.8,0.0032051282,0,2994ffc8014f
compartment_route_5nn,apoptosis up,1,1,0.0032051282,0,2994ffc8014f
endpoint_prevalence,cytotoxicity BLA,1,0.19939117,0.0037878788,0,2994ffc8014f
morphology_magnitude_5nn,cytotoxicity BLA,1,0.8,0.0037878788,0,2994ffc8014f
cells_block_5nn,cytotoxicity BLA,1,0.8,0.0037878788,0,2994ffc8014f
cytoplasm_block_5nn,cytotoxicity BLA,1,1,0.0037878788,0,2994ffc8014f
nuclei_block_5nn,cytotoxicity BLA,1,0.8,0.0037878788,0,2994ffc8014f
compartment_route_5nn,cytotoxicity BLA,1,0.8,0.0037878788,0,2994ffc8014f
endpoint_prevalence,cytotoxicity SRB,0,0.086757991,0.00083194676,0,2994ffc8014f
morphology_magnitude_5nn,cytotoxicity SRB,0,0,0.00083194676,0,2994ffc8014f
cells_block_5nn,cytotoxicity SRB,0,0,0.00083194676,0,2994ffc8014f
cytoplasm_block_5nn,cytotoxicity SRB,0,0.2,0.00083194676,0,2994ffc8014f
nuclei_block_5nn,cytotoxicity SRB,0,0,0.00083194676,0,2994ffc8014f
compartment_route_5nn,cytotoxicity SRB,0,0,0.00083194676,0,2994ffc8014f
endpoint_prevalence,ER stress,1,0.14003044,0.0053763441,0,2994ffc8014f
morphology_magnitude_5nn,ER stress,1,0.6,0.0053763441,0,2994ffc8014f
cells_block_5nn,ER stress,1,0.6,0.0053763441,0,2994ffc8014f
cytoplasm_block_5nn,ER stress,1,0.6,0.0053763441,0,2994ffc8014f
nuclei_block_5nn,ER stress,1,0.6,0.0053763441,0,2994ffc8014f
compartment_route_5nn,ER stress,1,0.4,0.0053763441,0,2994ffc8014f
endpoint_prevalence,heat shock,0,0.11567732,0.00085910653,0,2994ffc8014f
morphology_magnitude_5nn,heat shock,0,0.2,0.00085910653,0,2994ffc8014f
cells_block_5nn,heat shock,0,0.2,0.00085910653,0,2994ffc8014f
cytoplasm_block_5nn,heat shock,0,0.2,0.00085910653,0,2994ffc8014f
nuclei_block_5nn,heat shock,0,0.2,0.00085910653,0,2994ffc8014f
compartment_route_5nn,heat shock,0,0.4,0.00085910653,0,2994ffc8014f
endpoint_prevalence,microtubule up,0,0.02739726,0.00078125,0,2994ffc8014f
morphology_magnitude_5nn,microtubule up,0,0,0.00078125,0,2994ffc8014f
cells_block_5nn,microtubule up,0,0,0.00078125,0,2994ffc8014f
cytoplasm_block_5nn,microtubule up,0,0,0.00078125,0,2994ffc8014f
nuclei_block_5nn,microtubule up,0,0,0.00078125,0,2994ffc8014f
compartment_route_5nn,microtubule up,0,0,0.00078125,0,2994ffc8014f
endpoint_prevalence,mitochondrial disruption up,0,0.083713851,0.0008291874,0,2994ffc8014f
morphology_magnitude_5nn,mitochondrial disruption up,0,0,0.0008291874,0,2994ffc8014f
cells_block_5nn,mitochondrial disruption up,0,0,0.0008291874,0,2994ffc8014f
cytoplasm_block_5nn,mitochondrial disruption up,0,0,0.0008291874,0,2994ffc8014f
nuclei_block_5nn,mitochondrial disruption up,0,0,0.0008291874,0,2994ffc8014f
compartment_route_5nn,mitochondrial disruption up,0,0,0.0008291874,0,2994ffc8014f
endpoint_prevalence,oxidative stress up,0,0.15981735,0.00090415913,0,2994ffc8014f
morphology_magnitude_5nn,oxidative stress up,0,0.4,0.00090415913,0,2994ffc8014f
cells_block_5nn,oxidative stress up,0,0.4,0.00090415913,0,2994ffc8014f
cytoplasm_block_5nn,oxidative stress up,0,0.4,0.00090415913,0,2994ffc8014f
nuclei_block_5nn,oxidative stress up,0,0.4,0.00090415913,0,2994ffc8014f
compartment_route_5nn,oxidative stress up,0,0.2,0.00090415913,0,2994ffc8014f
endpoint_prevalence,proliferation decrease,0,0.12633181,0.00086956522,0,2994ffc8014f
morphology_magnitude_5nn,proliferation decrease,0,0.2,0.00086956522,0,2994ffc8014f
cells_block_5nn,proliferation decrease,0,0.2,0.00086956522,0,2994ffc8014f
cytoplasm_block_5nn,proliferation decrease,0,0.4,0.00086956522,0,2994ffc8014f
nuclei_block_5nn,proliferation decrease,0,0.2,0.00086956522,0,2994ffc8014f
compartment_route_5nn,proliferation decrease,0,0.2,0.00086956522,0,2994ffc8014f
endpoint_prevalence,apoptosis up,0,0.23744292,0.00099601594,1,635a0c3c2eac
morphology_magnitude_5nn,apoptosis up,0,0.6,0.00099601594,1,635a0c3c2eac
cells_block_5nn,apoptosis up,0,0,0.00099601594,1,635a0c3c2eac
cytoplasm_block_5nn,apoptosis up,0,0.2,0.00099601594,1,635a0c3c2eac
nuclei_block_5nn,apoptosis up,0,0.2,0.00099601594,1,635a0c3c2eac
compartment_route_5nn,apoptosis up,0,0.2,0.00099601594,1,635a0c3c2eac
endpoint_prevalence,cytotoxicity BLA,0,0.20091324,0.00095057034,1,635a0c3c2eac
morphology_magnitude_5nn,cytotoxicity BLA,0,0.2,0.00095057034,1,635a0c3c2eac
cells_block_5nn,cytotoxicity BLA,0,0,0.00095057034,1,635a0c3c2eac
cytoplasm_block_5nn,cytotoxicity BLA,0,0.2,0.00095057034,1,635a0c3c2eac
nuclei_block_5nn,cytotoxicity BLA,0,0.2,0.00095057034,1,635a0c3c2eac
compartment_route_5nn,cytotoxicity BLA,0,0,0.00095057034,1,635a0c3c2eac
endpoint_prevalence,cytotoxicity SRB,0,0.086757991,0.00083194676,1,635a0c3c2eac
morphology_magnitude_5nn,cytotoxicity SRB,0,0.4,0.00083194676,1,635a0c3c2eac
cells_block_5nn,cytotoxicity SRB,0,0,0.00083194676,1,635a0c3c2eac
cytoplasm_block_5nn,cytotoxicity SRB,0,0.2,0.00083194676,1,635a0c3c2eac
nuclei_block_5nn,cytotoxicity SRB,0,0,0.00083194676,1,635a0c3c2eac
compartment_route_5nn,cytotoxicity SRB,0,0.4,0.00083194676,1,635a0c3c2eac
endpoint_prevalence,ER stress,0,0.14155251,0.00088495575,1,635a0c3c2eac
morphology_magnitude_5nn,ER stress,0,0,0.00088495575,1,635a0c3c2eac
cells_block_5nn,ER stress,0,0,0.00088495575,1,635a0c3c2eac
cytoplasm_block_5nn,ER stress,0,0.2,0.00088495575,1,635a0c3c2eac
nuclei_block_5nn,ER stress,0,0,0.00088495575,1,635a0c3c2eac
compartment_route_5nn,ER stress,0,0.4,0.00088495575,1,635a0c3c2eac
endpoint_prevalence,heat shock,0,0.11567732,0.00085910653,1,635a0c3c2eac
morphology_magnitude_5nn,heat shock,0,0.2,0.00085910653,1,635a0c3c2eac
cells_block_5nn,heat shock,0,0,0.00085910653,1,635a0c3c2eac
cytoplasm_block_5nn,heat shock,0,0.2,0.00085910653,1,635a0c3c2eac
nuclei_block_5nn,heat shock,0,0,0.00085910653,1,635a0c3c2eac
compartment_route_5nn,heat shock,0,0.2,0.00085910653,1,635a0c3c2eac
endpoint_prevalence,microtubule up,0,0.02739726,0.00078125,1,635a0c3c2eac
morphology_magnitude_5nn,microtubule up,0,0,0.00078125,1,635a0c3c2eac
cells_block_5nn,microtubule up,0,0,0.00078125,1,635a0c3c2eac
cytoplasm_block_5nn,microtubule up,0,0,0.00078125,1,635a0c3c2eac
nuclei_block_5nn,microtubule up,0,0,0.00078125,1,635a0c3c2eac
compartment_route_5nn,microtubule up,0,0,0.00078125,1,635a0c3c2eac
endpoint_prevalence,mitochondrial disruption up,0,0.083713851,0.0008291874,1,635a0c3c2eac
morphology_magnitude_5nn,mitochondrial disruption up,0,0.2,0.0008291874,1,635a0c3c2eac
cells_block_5nn,mitochondrial disruption up,0,0,0.0008291874,1,635a0c3c2eac
cytoplasm_block_5nn,mitochondrial disruption up,0,0,0.0008291874,1,635a0c3c2eac
nuclei_block_5nn,mitochondrial disruption up,0,0,0.0008291874,1,635a0c3c2eac
compartment_route_5nn,mitochondrial disruption up,0,0.6,0.0008291874,1,635a0c3c2eac
endpoint_prevalence,oxidative stress up,0,0.15981735,0.00090415913,1,635a0c3c2eac
morphology_magnitude_5nn,oxidative stress up,0,0.6,0.00090415913,1,635a0c3c2eac
cells_block_5nn,oxidative stress up,0,0,0.00090415913,1,635a0c3c2eac
cytoplasm_block_5nn,oxidative stress up,0,0.2,0.00090415913,1,635a0c3c2eac
nuclei_block_5nn,oxidative stress up,0,0,0.00090415913,1,635a0c3c2eac
compartment_route_5nn,oxidative stress up,0,0.6,0.00090415913,1,635a0c3c2eac
endpoint_prevalence,proliferation decrease,0,0.12633181,0.00086956522,1,635a0c3c2eac
morphology_magnitude_5nn,proliferation decrease,0,0.4,0.00086956522,1,635a0c3c2eac
cells_block_5nn,proliferation decrease,0,0,0.00086956522,1,635a0c3c2eac
cytoplasm_block_5nn,proliferation decrease,0,0.2,0.00086956522,1,635a0c3c2eac
nuclei_block_5nn,proliferation decrease,0,0,0.00086956522,1,635a0c3c2eac
compartment_route_5nn,proliferation decrease,0,0.8,0.00086956522,1,635a0c3c2eac
endpoint_prevalence,apoptosis up,0,0.23744292,0.00099601594,2,160d288c1270
morphology_magnitude_5nn,apoptosis up,0,0.2,0.00099601594,2,160d288c1270
cells_block_5nn,apoptosis up,0,0.2,0.00099601594,2,160d288c1270
cytoplasm_block_5nn,apoptosis up,0,0,0.00099601594,2,160d288c1270
nuclei_block_5nn,apoptosis up,0,0,0.00099601594,2,160d288c1270
compartment_route_5nn,apoptosis up,0,0.2,0.00099601594,2,160d288c1270
endpoint_prevalence,cytotoxicity BLA,0,0.20091324,0.00095057034,2,160d288c1270
morphology_magnitude_5nn,cytotoxicity BLA,0,0,0.00095057034,2,160d288c1270
cells_block_5nn,cytotoxicity BLA,0,0.2,0.00095057034,2,160d288c1270
cytoplasm_block_5nn,cytotoxicity BLA,0,0.2,0.00095057034,2,160d288c1270
nuclei_block_5nn,cytotoxicity BLA,0,0,0.00095057034,2,160d288c1270
compartment_route_5nn,cytotoxicity BLA,0,0.2,0.00095057034,2,160d288c1270
endpoint_prevalence,cytotoxicity SRB,0,0.086757991,0.00083194676,2,160d288c1270
morphology_magnitude_5nn,cytotoxicity SRB,0,0.2,0.00083194676,2,160d288c1270
cells_block_5nn,cytotoxicity SRB,0,0,0.00083194676,2,160d288c1270
cytoplasm_block_5nn,cytotoxicity SRB,0,0,0.00083194676,2,160d288c1270
nuclei_block_5nn,cytotoxicity SRB,0,0,0.00083194676,2,160d288c1270
compartment_route_5nn,cytotoxicity SRB,0,0,0.00083194676,2,160d288c1270
endpoint_prevalence,ER stress,0,0.14155251,0.00088495575,2,160d288c1270
morphology_magnitude_5nn,ER stress,0,0.2,0.00088495575,2,160d288c1270
cells_block_5nn,ER stress,0,0.2,0.00088495575,2,160d288c1270
cytoplasm_block_5nn,ER stress,0,0,0.00088495575,2,160d288c1270
nuclei_block_5nn,ER stress,0,0,0.00088495575,2,160d288c1270
compartment_route_5nn,ER stress,0,0.2,0.00088495575,2,160d288c1270
endpoint_prevalence,heat shock,0,0.11567732,0.00085910653,2,160d288c1270
morphology_magnitude_5nn,heat shock,0,0.2,0.00085910653,2,160d288c1270
cells_block_5nn,heat shock,0,0.2,0.00085910653,2,160d288c1270
cytoplasm_block_5nn,heat shock,0,0,0.00085910653,2,160d288c1270
nuclei_block_5nn,heat shock,0,0,0.00085910653,2,160d288c1270
compartment_route_5nn,heat shock,0,0.2,0.00085910653,2,160d288c1270
endpoint_prevalence,microtubule up,0,0.02739726,0.00078125,2,160d288c1270
morphology_magnitude_5nn,microtubule up,0,0.2,0.00078125,2,160d288c1270
cells_block_5nn,microtubule up,0,0,0.00078125,2,160d288c1270
cytoplasm_block_5nn,microtubule up,0,0,0.00078125,2,160d288c1270
nuclei_block_5nn,microtubule up,0,0,0.00078125,2,160d288c1270
compartment_route_5nn,microtubule up,0,0,0.00078125,2,160d288c1270
endpoint_prevalence,mitochondrial disruption up,0,0.083713851,0.0008291874,2,160d288c1270
morphology_magnitude_5nn,mitochondrial disruption up,0,0.2,0.0008291874,2,160d288c1270
cells_block_5nn,mitochondrial disruption up,0,0,0.0008291874,2,160d288c1270
cytoplasm_block_5nn,mitochondrial disruption up,0,0,0.0008291874,2,160d288c1270
nuclei_block_5nn,mitochondrial disruption up,0,0,0.0008291874,2,160d288c1270
compartment_route_5nn,mitochondrial disruption up,0,0,0.0008291874,2,160d288c1270
endpoint_prevalence,oxidative stress up,0,0.15981735,0.00090415913,2,160d288c1270
morphology_magnitude_5nn,oxidative stress up,0,0.2,0.00090415913,2,160d288c1270
cells_block_5nn,oxidative stress up,0,0,0.00090415913,2,160d288c1270
cytoplasm_block_5nn,oxidative stress up,0,0,0.00090415913,2,160d288c1270
nuclei_block_5nn,oxidative stress up,0,0.2,0.00090415913,2,160d288c1270
compartment_route_5nn,oxidative stress up,0,0,0.00090415913,2,160d288c1270
endpoint_prevalence,proliferation decrease,0,0.12633181,0.00086956522,2,160d288c1270
morphology_magnitude_5nn,proliferation decrease,0,0.2,0.00086956522,2,160d288c1270
cells_block_5nn,proliferation decrease,0,0,0.00086956522,2,160d288c1270
cytoplasm_block_5nn,proliferation decrease,0,0,0.00086956522,2,160d288c1270
nuclei_block_5nn,proliferation decrease,0,0,0.00086956522,2,160d288c1270
compartment_route_5nn,proliferation decrease,0,0,0.00086956522,2,160d288c1270
endpoint_prevalence,apoptosis up,0,0.23744292,0.00099601594,3,a9ab45c66843
morphology_magnitude_5nn,apoptosis up,0,0.2,0.00099601594,3,a9ab45c66843
cells_block_5nn,apoptosis up,0,0.4,0.00099601594,3,a9ab45c66843
cytoplasm_block_5nn,apoptosis up,0,0.4,0.00099601594,3,a9ab45c66843
nuclei_block_5nn,apoptosis up,0,0.2,0.00099601594,3,a9ab45c66843
compartment_route_5nn,apoptosis up,0,0.2,0.00099601594,3,a9ab45c66843
endpoint_prevalence,cytotoxicity BLA,0,0.20091324,0.00095057034,3,a9ab45c66843
morphology_magnitude_5nn,cytotoxicity BLA,0,0,0.00095057034,3,a9ab45c66843
cells_block_5nn,cytotoxicity BLA,0,0.6,0.00095057034,3,a9ab45c66843
cytoplasm_block_5nn,cytotoxicity BLA,0,0.2,0.00095057034,3,a9ab45c66843
nuclei_block_5nn,cytotoxicity BLA,0,0.2,0.00095057034,3,a9ab45c66843
compartment_route_5nn,cytotoxicity BLA,0,0.2,0.00095057034,3,a9ab45c66843
endpoint_prevalence,cytotoxicity SRB,0,0.086757991,0.00083194676,3,a9ab45c66843
morphology_magnitude_5nn,cytotoxicity SRB,0,0,0.00083194676,3,a9ab45c66843
cells_block_5nn,cytotoxicity SRB,0,0,0.00083194676,3,a9ab45c66843
cytoplasm_block_5nn,cytotoxicity SRB,0,0,0.00083194676,3,a9ab45c66843
nuclei_block_5nn,cytotoxicity SRB,0,0,0.00083194676,3,a9ab45c66843
compartment_route_5nn,cytotoxicity SRB,0,0.2,0.00083194676,3,a9ab45c66843
endpoint_prevalence,ER stress,0,0.14155251,0.00088495575,3,a9ab45c66843
morphology_magnitude_5nn,ER stress,0,0,0.00088495575,3,a9ab45c66843
cells_block_5nn,ER stress,0,0.2,0.00088495575,3,a9ab45c66843
cytoplasm_block_5nn,ER stress,0,0.4,0.00088495575,3,a9ab45c66843
nuclei_block_5nn,ER stress,0,0,0.00088495575,3,a9ab45c66843
compartment_route_5nn,ER stress,0,0.2,0.00088495575,3,a9ab45c66843
endpoint_prevalence,heat shock,0,0.11567732,0.00085910653,3,a9ab45c66843
morphology_magnitude_5nn,heat shock,0,0,0.00085910653,3,a9ab45c66843
cells_block_5nn,heat shock,0,0.2,0.00085910653,3,a9ab45c66843
cytoplasm_block_5nn,heat shock,0,0.2,0.00085910653,3,a9ab45c66843
nuclei_block_5nn,heat shock,0,0,0.00085910653,3,a9ab45c66843
compartment_route_5nn,heat shock,0,0,0.00085910653,3,a9ab45c66843
endpoint_prevalence,microtubule up,0,0.02739726,0.00078125,3,a9ab45c66843
morphology_magnitude_5nn,microtubule up,0,0,0.00078125,3,a9ab45c66843
cells_block_5nn,microtubule up,0,0,0.00078125,3,a9ab45c66843
cytoplasm_block_5nn,microtubule up,0,0,0.00078125,3,a9ab45c66843
nuclei_block_5nn,microtubule up,0,0,0.00078125,3,a9ab45c66843
compartment_route_5nn,microtubule up,0,0,0.00078125,3,a9ab45c66843
endpoint_prevalence,mitochondrial disruption up,0,0.083713851,0.0008291874,3,a9ab45c66843
morphology_magnitude_5nn,mitochondrial disruption up,0,0,0.0008291874,3,a9ab45c66843
cells_block_5nn,mitochondrial disruption up,0,0,0.0008291874,3,a9ab45c66843
cytoplasm_block_5nn,mitochondrial disruption up,0,0.2,0.0008291874,3,a9ab45c66843
nuclei_block_5nn,mitochondrial disruption up,0,0.2,0.0008291874,3,a9ab45c66843
compartment_route_5nn,mitochondrial disruption up,0,0,0.0008291874,3,a9ab45c66843
endpoint_prevalence,oxidative stress up,0,0.15981735,0.00090415913,3,a9ab45c66843
morphology_magnitude_5nn,oxidative stress up,0,0,0.00090415913,3,a9ab45c66843
cells_block_5nn,oxidative stress up,0,0,0.00090415913,3,a9ab45c66843
cytoplasm_block_5nn,oxidative stress up,0,0.2,0.00090415913,3,a9ab45c66843
nuclei_block_5nn,oxidative stress up,0,0,0.00090415913,3,a9ab45c66843
compartment_route_5nn,oxidative stress up,0,0.4,0.00090415913,3,a9ab45c66843
endpoint_prevalence,proliferation decrease,0,0.12633181,0.00086956522,3,a9ab45c66843
morphology_magnitude_5nn,proliferation decrease,0,0,0.00086956522,3,a9ab45c66843
cells_block_5nn,proliferation decrease,0,0,0.00086956522,3,a9ab45c66843
cytoplasm_block_5nn,proliferation decrease,0,0.2,0.00086956522,3,a9ab45c66843
nuclei_block_5nn,proliferation decrease,0,0.2,0.00086956522,3,a9ab45c66843
compartment_route_5nn,proliferation decrease,0,0.2,0.00086956522,3,a9ab45c66843
endpoint_prevalence,apoptosis up,0,0.23744292,0.00099601594,4,b82f4cd747f3
morphology_magnitude_5nn,apoptosis up,0,0,0.00099601594,4,b82f4cd747f3
cells_block_5nn,apoptosis up,0,0.2,0.00099601594,4,b82f4cd747f3
cytoplasm_block_5nn,apoptosis up,0,0,0.00099601594,4,b82f4cd747f3
nuclei_block_5nn,apoptosis up,0,0,0.00099601594,4,b82f4cd747f3
compartment_route_5nn,apoptosis up,0,0.4,0.00099601594,4,b82f4cd747f3
endpoint_prevalence,cytotoxicity BLA,0,0.20091324,0.00095057034,4,b82f4cd747f3
morphology_magnitude_5nn,cytotoxicity BLA,0,0,0.00095057034,4,b82f4cd747f3
cells_block_5nn,cytotoxicity BLA,0,0,0.00095057034,4,b82f4cd747f3
cytoplasm_block_5nn,cytotoxicity BLA,0,0,0.00095057034,4,b82f4cd747f3
nuclei_block_5nn,cytotoxicity BLA,0,0,0.00095057034,4,b82f4cd747f3
compartment_route_5nn,cytotoxicity BLA,0,0.2,0.00095057034,4,b82f4cd747f3
endpoint_prevalence,cytotoxicity SRB,0,0.086757991,0.00083194676,4,b82f4cd747f3
morphology_magnitude_5nn,cytotoxicity SRB,0,0,0.00083194676,4,b82f4cd747f3
cells_block_5nn,cytotoxicity SRB,0,0,0.00083194676,4,b82f4cd747f3
cytoplasm_block_5nn,cytotoxicity SRB,0,0,0.00083194676,4,b82f4cd747f3
nuclei_block_5nn,cytotoxicity SRB,0,0,0.00083194676,4,b82f4cd747f3
compartment_route_5nn,cytotoxicity SRB,0,0.4,0.00083194676,4,b82f4cd747f3
endpoint_prevalence,ER stress,0,0.14155251,0.00088495575,4,b82f4cd747f3
morphology_magnitude_5nn,ER stress,0,0,0.00088495575,4,b82f4cd747f3
cells_block_5nn,ER stress,0,0,0.00088495575,4,b82f4cd747f3
