sequence,track_id,frame,x,y,area,intensity
00,23,0,516.700767,420.803069,391,12.841432
00,2102,0,491.039352,420.201389,432,12.932870
00,23,20,519.552301,421.776151,478,13.046025
00,2102,20,489.848948,420.908222,523,12.648184
00,23,40,522.003419,422.164103,585,13.822222
00,2102,40,487.942244,421.386139,606,13.110561
00,23,60,524.621701,424.631965,682,13.593842
00,2103,60,480.338086,430.311609,491,12.560081
00,3716,60,495.630499,410.909091,341,14.885630
00,24,80,532.276392,430.389635,521,13.147793
00,1207,80,513.256757,416.418919,370,15.143243
00,2103,80,479.176174,430.716443,596,13.466443
00,3716,80,491.919240,408.439430,421,16.068884
00,24,100,532.729299,430.156051,628,13.804140
00,1207,100,514.741228,414.870614,456,15.653509
00,2103,100,478.769559,430.455192,703,14.036984
00,3716,100,490.794821,406.613546,502,16.918327
00,24,120,534.066946,429.782427,717,13.877266
00,1207,120,517.443636,414.660000,550,16.438182
00,2103,120,479.654275,430.308550,807,14.603470
00,3716,120,490.779264,403.543478,598,16.704013
00,25,140,521.082192,435.952055,438,16.009132
00,734,140,542.878587,422.258278,453,13.408389
00,1207,140,516.132730,414.395173,663,17.911011
00,2104,140,488.407692,447.557692,520,15.473077
00,3057,140,475.019455,417.998054,514,15.645914
00,3716,140,490.008451,400.204225,710,17.039437
01,30,0,551.970588,540.245675,578,13.484429
01,3387,0,544.552632,517.874060,532,13.894737
01,30,20,552.428779,541.218023,688,13.656977
01,3387,20,544.580343,518.717629,641,14.302652
01,31,40,543.674227,548.934021,485,15.478351
01,2166,40,565.815668,533.423963,434,14.868664
01,3387,40,545.556714,518.530639,767,14.874837
01,31,60,544.136054,550.564626,588,16.549320
01,2166,60,566.438182,535.100000,550,16.430909
01,3388,60,534.393382,521.446691,544,15.906250
01,4993,60,561.728261,517.150000,460,15.334783
01,31,80,544.208824,550.023529,680,16.792647
01,2166,80,565.535826,534.901869,642,17.785047
01,3388,80,533.213953,520.511628,645,16.075969
01,4993,80,562.267857,515.698214,560,17.176786
01,31,100,545.446452,551.157419,775,17.882581
01,2166,100,566.116951,535.768725,761,19.354796
01,3388,100,531.738220,521.204188,764,16.742147
01,4993,100,563.540625,515.753125,640,16.993750
01,32,120,548.293805,568.249558,565,16.122124
01,1223,120,543.850117,536.941452,427,21.908665
01,2167,120,581.052104,541.270541,499,18.080160
01,2408,120,554.289352,526.854167,432,25.138889
01,3389,120,527.202381,533.793651,504,17.077381
01,4088,120,537.624413,507.748826,426,17.230047
01,4994,120,576.870324,523.189526,401,21.588529
01,5349,120,558.789838,503.436490,433,17.750577
01,32,140,547.822747,569.407681,677,17.615953
01,1223,140,541.650888,534.958580,507,24.806706
01,2167,140,582.633166,542.055276,597,18.145729
01,2408,140,553.063707,526.222008,518,27.704633
01,3389,140,526.224959,536.522167,609,18.638752
01,4088,140,535.022945,504.252390,523,17.586998
01,4994,140,578.172340,524.546809,470,21.978723
01,5349,140,558.640777,501.133981,515,18.700971
